WordInds,LexSemErr,ThresholdCrossingIteration,ONsize,Frequency,NumSemFeats,ThresholdWasCrossed,CorrectItemCrossed,WordThatCrossed,Repeated_name,Repeated_code,WordInput
910,765.5131503974555,6,4,1.857300043106079,8,True,1.0,wept,unrepeated,-0.5,wept
1150,770.2451192462577,7,3,1.462399959564209,7,True,1.0,bawl,unrepeated,-0.5,bawl
510,910.5459916483845,7,3,3.629300117492676,14,True,1.0,fish,unrepeated,-0.5,fish
585,826.122911950866,6,2,2.6117000579833984,12,True,1.0,tuna,unrepeated,-0.5,tuna
22,821.3925162304615,7,5,2.4065001010894775,12,True,1.0,herb,unrepeated,-0.5,herb
241,844.8431938559385,9,12,1.954200029373169,11,True,1.0,sage,unrepeated,-0.5,sage
937,754.1626452492361,7,8,3.8190999031066895,7,True,1.0,king,unrepeated,-0.5,king
1003,647.3601619296812,4,1,1.3009999990463257,9,True,1.0,tsar,unrepeated,-0.5,tsar
30,782.1981128481996,6,2,1.9911999702453613,11,True,1.0,knit,unrepeated,-0.5,knit
1034,831.2355051083987,7,2,1.8260999917984009,10,True,1.0,sewn,unrepeated,-0.5,sewn
26,861.6132395787436,7,5,2.3784000873565674,10,True,1.0,limb,unrepeated,-0.5,limb
692,886.8332202851814,9,7,4.154200077056885,11,True,1.0,hand,unrepeated,-0.5,hand
61,648.9283980040051,9,7,1.9589999914169312,6,True,1.0,dung,unrepeated,-0.5,dung
138,893.5774149496476,9,7,3.4986000061035156,7,True,1.0,crap,unrepeated,-0.5,crap
57,710.534309989732,10,7,2.7723000049591064,11,True,1.0,plot,unrepeated,-0.5,plot
1222,896.3279860210383,11,13,2.7874999046325684,11,True,1.0,tale,unrepeated,-0.5,tale
275,749.2614408063882,4,0,0.9031000137329102,13,True,1.0,ovum,unrepeated,-0.5,ovum
821,894.9607689071496,8,10,3.4428999423980713,11,True,1.0,cell,unrepeated,-0.5,cell
62,658.6272221698271,4,0,0.3009999990463257,8,True,1.0,lynx,unrepeated,-0.5,lynx
595,891.2007333889158,12,16,2.29229998588562,8,True,1.0,hare,unrepeated,-0.5,hare
240,107.10676337683235,2,4,2.478600025177002,11,True,1.0,glue,unrepeated,-0.5,glue
815,642.2355365642557,5,1,1.0,14,True,1.0,inks,unrepeated,-0.5,inks
92,442.46783993311783,13,11,2.609600067138672,10,True,1.0,tuck,unrepeated,-0.5,tuck
1287,911.8378797973512,10,9,2.851300001144409,8,True,1.0,darn,unrepeated,-0.5,darn
213,572.4375723006517,3,0,1.2553000450134277,11,True,1.0,onyx,unrepeated,-0.5,onyx
836,839.2899978215995,6,3,2.4149999618530273,9,True,1.0,jade,unrepeated,-0.5,jade
141,815.5745017201756,9,10,2.5694000720977783,10,True,1.0,tick,unrepeated,-0.5,tick
587,773.7323842204445,7,5,2.2304000854492188,8,True,1.0,flea,unrepeated,-0.5,flea
170,848.9852613061397,9,9,2.2095000743865967,9,True,1.0,funk,unrepeated,-0.5,funk
196,681.7288652511709,4,0,2.784600019454956,9,True,1.0,jazz,unrepeated,-0.5,jazz
142,690.651281512639,7,1,2.56469988822937,12,True,1.0,glen,unrepeated,-0.5,glen
549,902.4854049299107,10,12,3.282399892807007,13,True,1.0,hill,unrepeated,-0.5,hill
294,911.1635660914355,9,6,2.599900007247925,11,True,1.0,soil,unrepeated,-0.5,soil
602,869.0935850027181,8,3,3.1175999641418457,5,True,1.0,dirt,unrepeated,-0.5,dirt
178,884.4913443647165,9,10,2.8578999042510986,10,True,1.0,bush,unrepeated,-0.5,bush
