WordInds,LexSemErr,ThresholdCrossingIteration,ONsize,Frequency,NumSemFeats,ThresholdWasCrossed,CorrectItemCrossed,WordThatCrossed,SemanticRelatedness_name,SemanticRelatedness_code,WordInput
441,879.7302038067725,10,11,2.5262999534606934,10,True,1.0,mice,semunrelated,-0.5,mice
905,895.5575572719488,8,5,2.176100015640259,13,True,1.0,puss,semunrelated,-0.5,puss
246,671.8574685378308,5,1,2.8608999252319336,9,True,1.0,debt,semunrelated,-0.5,debt
1080,910.8682329756724,9,6,3.00600004196167,9,True,1.0,loan,semunrelated,-0.5,loan
721,791.074014659696,8,4,1.5563000440597534,11,True,1.0,axes,semunrelated,-0.5,axes
963,716.1390379862785,7,3,1.2303999662399292,9,True,1.0,maul,semunrelated,-0.5,maul
422,902.1090710468889,6,1,2.8942999839782715,16,True,1.0,lion,semunrelated,-0.5,lion
616,793.8709018944548,6,1,0.9031000137329102,9,True,1.0,puma,semunrelated,-0.5,puma
566,908.2285288257078,11,12,3.4321999549865723,11,True,1.0,rose,semunrelated,-0.5,rose
711,897.7473518372901,7,1,3.13700008392334,10,True,1.0,lily,semunrelated,-0.5,lily
439,848.8673516492423,7,7,1.9138000011444092,8,True,1.0,stag,semunrelated,-0.5,stag
723,859.9242875773537,9,11,3.2360000610351562,11,True,1.0,buck,semunrelated,-0.5,buck
1117,915.6671351619655,8,3,4.0991997718811035,9,True,1.0,hurt,semunrelated,-0.5,hurt
1152,485.2721422422251,12,7,3.6986000537872314,13,True,1.0,pain,semunrelated,-0.5,pain
573,927.5268764415481,8,6,2.767199993133545,16,True,1.0,dish,semunrelated,-0.5,dish
599,869.2870526502711,8,6,3.039400100708008,9,True,1.0,bowl,semunrelated,-0.5,bowl
8,898.3368322715587,9,6,2.1238999366760254,7,True,1.0,gram,semunrelated,-0.5,gram
1239,833.3519001950579,6,4,1.9084999561309814,10,True,1.0,kilo,semunrelated,-0.5,kilo
576,630.7692321609403,9,5,2.617000102996826,11,True,1.0,pony,semunrelated,-0.5,pony
680,892.3745762235064,11,18,2.1731998920440674,13,True,1.0,mare,semunrelated,-0.5,mare
946,843.5675928274371,9,11,1.7559000253677368,13,True,1.0,gull,semunrelated,-0.5,gull
1261,707.185094042593,12,15,1.5681999921798706,9,True,1.0,coot,semunrelated,-0.5,coot
620,899.3122054899017,9,6,3.200900077819824,10,True,1.0,bath,semunrelated,-0.5,bath
684,856.577636395323,11,12,2.936500072479248,8,True,1.0,sink,semunrelated,-0.5,sink
118,740.1793967140145,5,0,2.433000087738037,7,True,1.0,nova,semunrelated,-0.5,nova
709,909.6021870820281,9,9,3.618000030517578,13,True,1.0,star,semunrelated,-0.5,star
623,373.4504030048481,13,10,2.789599895477295,14,True,1.0,dime,semunrelated,-0.5,dime
909,872.5216591300808,9,10,2.684799909591675,12,True,1.0,cent,semunrelated,-0.5,cent
270,908.183882176097,9,7,2.285599946975708,10,True,1.0,pact,semunrelated,-0.5,pact
1255,881.7419666557926,11,14,4.124899864196777,11,True,1.0,deal,semunrelated,-0.5,deal
1437,792.8228904496201,12,16,1.544100046157837,9,True,1.0,lore,semunrelated,-0.5,lore
1466,742.266586874518,5,3,2.547800064086914,6,True,1.0,myth,semunrelated,-0.5,myth
1251,795.266753655149,8,10,2.761899948120117,8,True,1.0,rage,semunrelated,-0.5,rage
1311,840.8905552585608,7,2,2.29229998588562,8,True,1.0,fury,semunrelated,-0.5,fury
41,807.0964937960229,10,7,2.6989998817443848,12,True,1.0,silk,semunrelated,-0.5,silk
610,737.0391975201549,8,6,2.2095000743865967,9,True,1.0,wool,semunrelated,-0.5,wool
910,765.5131503974555,6,4,1.857300043106079,8,True,1.0,wept,semunrelated,-0.5,wept
1150,770.2451192462577,7,3,1.462399959564209,7,True,1.0,bawl,semunrelated,-0.5,bawl
510,910.5459916483845,7,3,3.629300117492676,14,True,1.0,fish,semunrelated,-0.5,fish
585,826.122911950866,6,2,2.6117000579833984,12,True,1.0,tuna,semunrelated,-0.5,tuna
22,821.3925162304615,7,5,2.4065001010894775,12,True,1.0,herb,semunrelated,-0.5,herb
241,844.8431938559385,9,12,1.954200029373169,11,True,1.0,sage,semunrelated,-0.5,sage
