WordInds,LexSemErr,ThresholdCrossingIteration,ONsize,Frequency,NumSemFeats,ThresholdWasCrossed,CorrectItemCrossed,WordThatCrossed,Relatedness_name,Relatedness_code,WordInput
937,871.914284955307,7,8,3.8190999031066895,7,True,1.0,king,SemUnrelated,-0.5,king
1003,644.9103563561329,4,1,1.3009999990463257,9,True,1.0,tsar,SemUnrelated,-0.5,tsar
30,803.1949061226284,6,2,1.9911999702453613,11,True,1.0,knit,SemUnrelated,-0.5,knit
1034,852.0930969617439,7,2,1.8260999917984009,10,True,1.0,sewn,SemUnrelated,-0.5,sewn
26,863.4484138426836,7,5,2.3784000873565674,10,True,1.0,limb,SemUnrelated,-0.5,limb
692,915.6650832567278,9,7,4.154200077056885,11,True,1.0,hand,SemUnrelated,-0.5,hand
61,876.8001132661627,9,7,1.9589999914169312,6,True,1.0,dung,SemUnrelated,-0.5,dung
138,903.9457925412092,9,7,3.4986000061035156,7,True,1.0,crap,SemUnrelated,-0.5,crap
57,916.1003522762369,9,7,2.7723000049591064,11,True,1.0,plot,SemUnrelated,-0.5,plot
1222,915.1346639328892,11,13,2.7874999046325684,11,True,1.0,tale,SemUnrelated,-0.5,tale
275,748.3923505541582,4,0,0.9031000137329102,13,True,1.0,ovum,SemUnrelated,-0.5,ovum
821,923.4512567615129,8,10,3.4428999423980713,11,True,1.0,cell,SemUnrelated,-0.5,cell
62,661.5840187803524,4,0,0.3009999990463257,8,True,1.0,lynx,SemUnrelated,-0.5,lynx
595,927.273667520649,12,16,2.29229998588562,8,True,1.0,hare,SemUnrelated,-0.5,hare
240,917.7948318554705,8,4,2.478600025177002,11,True,1.0,glue,SemUnrelated,-0.5,glue
815,667.3206264827734,5,1,1.0,14,True,1.0,inks,SemUnrelated,-0.5,inks
92,884.0787887107563,10,11,2.609600067138672,10,True,1.0,tuck,SemUnrelated,-0.5,tuck
1287,907.9590326206624,10,9,2.851300001144409,8,True,1.0,darn,SemUnrelated,-0.5,darn
213,573.3216077586743,3,0,1.2553000450134277,11,True,1.0,onyx,SemUnrelated,-0.5,onyx
836,859.342306914803,6,3,2.4149999618530273,9,True,1.0,jade,SemUnrelated,-0.5,jade
141,909.655266170502,9,10,2.5694000720977783,10,True,1.0,tick,SemUnrelated,-0.5,tick
587,813.4174298110527,7,5,2.2304000854492188,8,True,1.0,flea,SemUnrelated,-0.5,flea
170,927.4795820105388,9,9,2.2095000743865967,9,True,1.0,funk,SemUnrelated,-0.5,funk
196,686.8072632675878,4,0,2.784600019454956,9,True,1.0,jazz,SemUnrelated,-0.5,jazz
142,876.0698557928033,6,1,2.56469988822937,12,True,1.0,glen,SemUnrelated,-0.5,glen
549,917.6055723020694,10,12,3.282399892807007,13,True,1.0,hill,SemUnrelated,-0.5,hill
294,914.4727709924304,9,6,2.599900007247925,11,True,1.0,soil,SemUnrelated,-0.5,soil
602,882.2443205801039,8,3,3.1175999641418457,5,True,1.0,dirt,SemUnrelated,-0.5,dirt
178,934.3699554275405,9,10,2.8578999042510986,10,True,1.0,bush,SemUnrelated,-0.5,bush
511,917.1497477552399,8,4,3.5206000804901123,15,True,1.0,tree,SemUnrelated,-0.5,tree
384,738.7863687340325,5,1,2.8006999492645264,7,True,1.0,inch,SemUnrelated,-0.5,inch
1291,868.0634530420309,10,8,2.0085999965667725,4,True,1.0,span,SemUnrelated,-0.5,span
186,910.2989512588217,7,3,2.734800100326538,12,True,1.0,lamb,SemUnrelated,-0.5,lamb
608,941.2454844621859,11,11,2.648400068283081,10,True,1.0,deer,SemUnrelated,-0.5,deer
266,828.9539847703469,8,7,1.8920999765396118,9,True,1.0,haze,SemUnrelated,-0.5,haze
488,719.9719983223853,5,1,1.7482000589370728,9,True,1.0,smog,SemUnrelated,-0.5,smog
191,911.5968891164505,9,7,2.164400100708008,8,True,1.0,moss,SemUnrelated,-0.5,moss
524,895.8610277948294,6,0,2.2147998809814453,9,True,1.0,fern,SemUnrelated,-0.5,fern
405,788.5621736516158,6,2,1.6720999479293823,11,True,1.0,acne,SemUnrelated,-0.5,acne
1242,726.9202487097657,5,2,2.330399990081787,11,True,1.0,itch,SemUnrelated,-0.5,itch
230,903.5706091451768,9,8,1.924299955368042,10,True,1.0,lark,SemUnrelated,-0.5,lark
470,834.2162301271513,6,1,1.3009999990463257,6,True,1.0,wren,SemUnrelated,-0.5,wren
314,927.6429994840282,7,3,2.749000072479248,11,True,1.0,shed,SemUnrelated,-0.5,shed
654,916.3933158351053,9,8,4.350599765777588,15,True,1.0,room,SemUnrelated,-0.5,room
233,909.8825288370335,9,7,2.3385000228881836,7,True,1.0,lure,SemUnrelated,-0.5,lure
271,891.2517594868559,8,3,2.6963999271392822,6,True,1.0,bait,SemUnrelated,-0.5,bait
548,902.4277742450525,10,9,3.688999891281128,14,True,1.0,boat,SemUnrelated,-0.5,boat
597,925.5222248146313,10,8,3.7028000354766846,10,True,1.0,ship,SemUnrelated,-0.5,ship
251,850.6678707031773,7,6,1.462399959564209,11,True,1.0,kale,SemUnrelated,-0.5,kale
559,924.1144632684591,9,8,1.2041000127792358,9,True,1.0,leek,SemUnrelated,-0.5,leek
25,885.8444836879364,8,10,1.544100046157837,8,True,1.0,mope,SemUnrelated,-0.5,mope
1474,863.528779505387,8,5,1.7243000268936157,8,True,1.0,glum,SemUnrelated,-0.5,glum
285,932.6734469229339,10,10,2.841399908065796,8,True,1.0,barn,SemUnrelated,-0.5,barn
880,848.9206697623835,7,5,1.6901999711990356,9,True,1.0,silo,SemUnrelated,-0.5,silo
505,674.130335241828,4,0,1.6128000020980835,11,True,1.0,kiwi,SemUnrelated,-0.5,kiwi
626,897.1535948575529,8,5,2.243000030517578,12,True,1.0,plum,SemUnrelated,-0.5,plum
319,913.6005877238601,9,5,1.8691999912261963,8,True,1.0,wasp,SemUnrelated,-0.5,wasp
696,912.2772198475457,7,5,2.436199903488159,13,True,1.0,bees,SemUnrelated,-0.5,bees
545,750.3482473548167,4,0,2.2227001190185547,14,True,1.0,mayo,SemUnrelated,-0.5,mayo
736,929.7305410522589,10,9,1.2553000450134277,10,True,1.0,slaw,SemUnrelated,-0.5,slaw
454,766.0727517506301,5,3,1.3617000579833984,10,True,1.0,oxen,SemUnrelated,-0.5,oxen
621,935.9769509106297,10,12,3.14739990234375,8,True,1.0,bull,SemUnrelated,-0.5,bull
114,774.0528364338238,5,1,3.904400110244751,8,True,1.0,whoa,SemUnrelated,-0.5,whoa
1483,763.9849453750119,5,1,2.7458999156951904,6,True,1.0,oops,SemUnrelated,-0.5,oops
544,846.6042765762273,7,9,2.413300037384033,10,True,1.0,cafe,SemUnrelated,-0.5,cafe
763,701.8154589243475,5,1,2.037400007247925,7,True,1.0,deli,SemUnrelated,-0.5,deli
174,918.4283860277401,7,2,2.5211000442504883,13,True,1.0,riot,SemUnrelated,-0.5,riot
877,839.6955076251013,7,3,2.2528998851776123,11,True,1.0,thug,SemUnrelated,-0.5,thug
578,905.3499486119763,8,3,2.510499954223633,9,True,1.0,pond,SemUnrelated,-0.5,pond
592,938.7846206416834,9,13,3.2641000747680664,9,True,1.0,lake,SemUnrelated,-0.5,lake
695,924.6125282196756,9,12,2.7809998989105225,15,True,1.0,pill,SemUnrelated,-0.5,pill
798,824.4500578085041,6,2,3.36299991607666,12,True,1.0,drug,SemUnrelated,-0.5,drug
590,939.751184800623,9,11,3.585599899291992,12,True,1.0,beer,SemUnrelated,-0.5,beer
1338,946.8434930011563,9,15,3.514899969100952,11,True,1.0,sake,SemUnrelated,-0.5,sake
144,900.651996090566,9,6,1.8194999694824219,6,True,1.0,posh,SemUnrelated,-0.5,posh
1347,816.7646647077438,8,5,2.0492000579833984,7,True,1.0,snob,SemUnrelated,-0.5,snob
596,892.024582111995,9,10,4.168700218200684,9,True,1.0,face,SemUnrelated,-0.5,face
676,891.1276693512057,10,11,4.277599811553955,9,True,1.0,head,SemUnrelated,-0.5,head
958,876.5514392691468,8,9,3.536799907684326,8,True,1.0,nine,SemUnrelated,-0.5,nine
1188,883.0732599555965,8,6,4.115499973297119,9,True,1.0,four,SemUnrelated,-0.5,four
744,939.9835367333468,9,11,2.613800048828125,12,True,1.0,rash,SemUnrelated,-0.5,rash
830,920.2387923974663,10,10,1.0,9,True,1.0,welt,SemUnrelated,-0.5,welt
1367,824.7867820055105,8,10,2.4969000816345215,6,True,1.0,scam,SemUnrelated,-0.5,scam
1456,853.2523519429427,7,4,1.531499981880188,6,True,1.0,dupe,SemUnrelated,-0.5,dupe
751,888.7004433687941,9,8,2.4377999305725098,6,True,1.0,peel,SemUnrelated,-0.5,peel
805,891.9488813155507,9,9,1.1761000156402588,6,True,1.0,rind,SemUnrelated,-0.5,rind
71,850.4515122898076,7,4,1.6812000274658203,10,True,1.0,spud,SemUnrelated,-0.5,spud
698,902.9958108696981,9,7,3.0220000743865967,9,True,1.0,chip,SemUnrelated,-0.5,chip
838,879.4179552938997,8,6,2.1875,10,True,1.0,boob,SemUnrelated,-0.5,boob
843,919.0983514396387,11,13,1.2303999662399292,7,True,1.0,teat,SemUnrelated,-0.5,teat
152,819.7277424385596,8,8,2.0569000244140625,4,True,1.0,goof,SemUnrelated,-0.5,goof
1108,702.8678237249494,6,2,1.544100046157837,8,True,1.0,typo,SemUnrelated,-0.5,typo
23,934.6147733778738,11,18,1.079200029373169,8,True,1.0,sear,SemUnrelated,-0.5,sear
903,938.929750247815,10,13,2.510499954223633,9,True,1.0,bake,SemUnrelated,-0.5,bake
49,935.4020188499456,12,13,2.2279000282287598,11,True,1.0,lime,SemUnrelated,-0.5,lime
557,929.5094487243047,9,13,1.8387999534606934,10,True,1.0,pear,SemUnrelated,-0.5,pear
40,932.0390094416509,9,12,1.5563000440597534,11,True,1.0,gash,SemUnrelated,-0.5,gash
931,898.2217715809174,9,6,3.4498000144958496,7,True,1.0,burn,SemUnrelated,-0.5,burn
305,822.1861984583086,6,2,3.380199909210205,7,True,1.0,plus,SemUnrelated,-0.5,plus
375,890.2613100029554,8,6,2.4518001079559326,8,True,1.0,grid,SemUnrelated,-0.5,grid
46,829.215640153111,6,1,3.4149999618530273,6,True,1.0,duty,SemUnrelated,-0.5,duty
1461,911.553564056196,10,12,2.9684998989105225,8,True,1.0,role,SemUnrelated,-0.5,role
195,783.8112383213104,6,2,1.8451000452041626,8,True,1.0,alto,SemUnrelated,-0.5,alto
1105,805.5449352071639,5,1,1.8976000547409058,8,True,1.0,diva,SemUnrelated,-0.5,diva
47,912.7051342301818,10,13,1.579800009727478,5,True,1.0,hone,SemUnrelated,-0.5,hone
364,875.3596547355392,7,4,0.7781999707221985,10,True,1.0,rasp,SemUnrelated,-0.5,rasp
162,656.5678962803561,4,0,3.1201999187469482,12,True,1.0,taxi,SemUnrelated,-0.5,taxi
475,830.9166114033267,6,1,2.5933001041412354,12,True,1.0,auto,SemUnrelated,-0.5,auto
159,937.407573007984,12,16,2.7551000118255615,10,True,1.0,boot,SemUnrelated,-0.5,boot
609,836.3043275988981,9,7,2.577500104904175,6,True,1.0,heel,SemUnrelated,-0.5,heel
203,854.8270543881221,6,2,2.3032000064849854,13,True,1.0,bulb,SemUnrelated,-0.5,bulb
534,929.8625828651387,10,8,2.81820011138916,11,True,1.0,lamp,SemUnrelated,-0.5,lamp
161,904.5026769176147,9,4,1.6901999711990356,9,True,1.0,font,SemUnrelated,-0.5,font
163,752.7154793826801,8,4,3.490499973297119,5,True,1.0,type,SemUnrelated,-0.5,type
342,715.0015305477235,5,0,1.9031000137329102,8,True,1.0,luau,SemUnrelated,-0.5,luau
1093,902.2385469413387,10,13,1.8451000452041626,10,True,1.0,fest,SemUnrelated,-0.5,fest
185,663.438121817138,4,0,1.2788000106811523,12,True,1.0,oboe,SemUnrelated,-0.5,oboe
277,919.9199918746921,8,7,2.1303000450134277,11,True,1.0,harp,SemUnrelated,-0.5,harp
346,909.3982385277528,8,6,2.672100067138672,9,True,1.0,hint,SemUnrelated,-0.5,hint
480,877.968068739181,7,3,2.9537999629974365,7,True,1.0,clue,SemUnrelated,-0.5,clue
202,896.6439486168368,8,4,1.986799955368042,9,True,1.0,moan,SemUnrelated,-0.5,moan
273,739.1003345964742,6,3,0.9031000137329102,6,True,1.0,yelp,SemUnrelated,-0.5,yelp
221,805.5251595027455,5,2,1.7243000268936157,9,True,1.0,opal,SemUnrelated,-0.5,opal
671,789.3430361006049,5,0,2.783900022506714,11,True,1.0,ruby,SemUnrelated,-0.5,ruby
210,915.4893429431319,9,7,2.037400007247925,11,True,1.0,snot,SemUnrelated,-0.5,snot
581,914.4999483518365,9,10,3.5511999130249023,11,True,1.0,nose,SemUnrelated,-0.5,nose
244,892.277445418852,9,5,2.9014999866485596,12,True,1.0,tune,SemUnrelated,-0.5,tune
